@relation bivariate

@attribute X1 numeric
@attribute X2 numeric
@attribute Y numeric

@data
-1.136727,2.899818,2.133985
8.707544,5.625665,5.212669
2.096057,-7.715718,6.853144
-2.234582,1.574241,3.354588
-5.665166,-8.321225,3.254079
8.105268,-4.757021,8.047993
0.707547,9.574534,1.784867
-4.823897,5.236279,1.202388
-9.072297,3.000318,-1.355246
9.938054,1.075842,5.821177
-5.435143,-8.952016,1.890588
8.261235,6.859033,3.965845
-3.228646,-4.711635,2.296514
6.606018,-4.224371,4.55695
0.416708,-4.614276,3.738657
-0.955239,-1.873601,3.355933
-0.642396,6.54593,2.743085
-9.430736,3.09584,-0.714153
7.923214,-8.72106,8.182508
-8.002719,0.013989,-0.702467
-5.505153,0.118364,1.542664
-5.444439,-7.911683,4.395608
-6.023048,-2.599608,2.686937
-0.20662,5.24453,3.163871
-3.277575,-2.247636,1.910947
3.929441,3.259053,3.220775
0.989954,2.061185,3.650907
5.944882,2.250753,4.997124
-7.320678,0.347082,0.285906
-8.514621,2.821129,0.821328
0.436641,8.233767,1.588835
0.216175,2.127238,2.154638
-8.738331,-3.255789,0.942772
-1.535736,0.935486,2.732562
-5.349049,9.572367,-0.811988
-4.808098,9.926482,1.170062
-9.169534,0.245506,1.620977
7.795343,-1.945378,5.017982
8.733032,-9.751843,6.829198
8.174909,-6.016168,8.247223
7.454566,2.007371,6.122888
-1.670777,-3.930748,2.957468
-1.416798,-7.48721,5.66395
5.184512,-2.994477,4.252998
-9.790133,6.387094,-0.164635
-9.123096,1.643674,-1.083313
-5.494732,-8.236961,3.871227
-5.483621,-6.931558,4.328303
5.582231,-0.255577,3.623446
9.154559,-0.921859,7.572789
-4.800557,1.162082,1.603913
9.412408,8.254134,5.842271
-3.201335,5.36448,1.741515
2.259585,9.158611,1.661445
-7.367895,-2.159676,2.044366
-0.80726,5.445494,3.194503
-1.286796,-4.123491,2.999504
-0.930516,-0.712764,4.551597
-0.547748,-9.609997,4.041941
2.649083,7.674989,2.80247
-0.06408,1.664921,3.323267
-4.790787,6.237447,-0.353008
-2.788853,-9.85966,3.448403
1.498294,6.571959,1.913248
1.905128,6.6901,3.565979
-4.3628,-4.969969,2.43332
0.497072,-5.383734,5.227574
-1.114495,8.265764,0.648895
-9.308088,-5.970307,1.687728
0.885993,6.182897,0.958452
-8.292517,-3.365806,2.289533
0.168981,0.803843,4.281501
5.39362,3.442079,5.563217
6.934539,9.661158,2.802557
-8.242447,3.089772,1.495151
-5.348236,-1.185051,2.771553
5.897419,9.298152,2.939953
6.914139,9.387113,3.09603
6.790198,4.21534,4.145359
7.577906,0.56298,5.784513
-1.818589,-2.286567,3.99357
-1.295292,9.84719,0.919174
-6.727168,5.862622,0.322207
-9.335118,-0.00544,-0.720615
4.502237,9.394537,4.062365
6.403588,-4.54862,6.661316
-1.04864,-5.168563,5.059501
-2.930987,-8.495107,3.179996
-9.430185,4.284359,-1.771894
-4.29657,-2.979205,2.371568
9.403778,6.625571,3.892698
8.646958,-2.820994,6.543708
-7.702565,-9.079655,2.378888
-2.684788,8.220075,2.216314
-1.148479,-3.830526,2.689369
-6.089767,2.907176,1.126153
-1.875288,-8.899505,4.861066
-3.012738,-7.270004,4.82488
-8.725222,4.077384,0.225546
-5.060689,5.170821,-0.269419
-1.906889,0.220293,2.531445
-0.959394,2.722476,2.297047
-4.114889,0.446881,3.272268
-2.402833,-0.168325,2.10292
9.463596,-0.678111,4.74522
2.83572,-0.717424,3.584465
-3.778749,-0.538606,2.597796
-3.0125,7.207633,2.193784
-5.516116,6.701061,1.685839
-0.016202,1.529458,4.101441
-5.013173,-3.105631,2.984955
2.642817,1.844724,3.025153
-7.565494,2.761549,-0.179717
-5.311081,0.551614,0.892515
-8.076468,-3.301744,0.515642
-9.260972,9.508623,-2.919344
7.821556,1.631256,6.146479
-2.85863,-4.829724,3.700484
-7.860461,-3.845189,1.457206
-6.85562,3.899011,1.55374
7.475725,-0.991829,5.058391
-3.896178,-6.005401,2.284348
3.641984,-3.03579,5.903589
-7.926983,-1.235486,0.212608
-5.167276,-1.35521,1.21235
-5.395183,-0.653487,2.738803
4.655789,-4.793133,4.954885
-4.263942,-2.792099,3.632216
9.512328,9.288984,4.77051
-7.212249,6.021506,1.190077
-7.417638,9.302809,0.584902
2.921356,8.343642,3.493862
-1.152469,4.006772,1.06366
7.800998,2.849109,6.183582
-5.672064,-8.983296,4.654631
4.625996,-6.73482,6.697919
9.805736,9.957888,3.201141
2.971343,2.81104,2.210941
1.627596,0.535995,4.070598
0.417607,-7.427295,5.244461
-6.308038,-7.87108,3.074594
-7.661494,8.797601,0.388531
0.919768,9.506496,2.444807
0.758668,2.7767,3.269541
-0.629696,9.068706,1.89565
-0.812731,5.699427,2.532361
-0.193872,7.840534,1.919601
9.059351,-6.765731,8.456465
-1.946149,2.898939,2.518432
-8.337833,-7.595346,3.029313
8.029719,7.65435,3.536252
-4.231548,6.587372,1.27157
-8.01098,-3.586568,1.30743
0.788122,0.197183,3.158171
-9.732888,-9.616898,2.965253
8.684975,7.312042,5.40692
-7.05931,-4.263264,1.00868
-1.86957,8.484761,0.589075
-3.927258,0.481009,0.897282
7.808128,9.934389,2.978189
-5.144795,1.296304,1.201872
-9.605195,-1.68694,-0.104064
-5.931864,9.299391,-0.015453
-2.206107,6.368991,0.346083
9.02919,-9.371081,7.744172
-3.320759,0.80783,2.88507
2.708578,-8.586016,5.932183
9.050535,-0.295636,7.251071
