A,B,C,D,Class
A2,B2,C1,D1,BAD
A2,B1,C5,D8,GOOD
A2,B2,C3,D4,BAD
A2,B2,C9,D1,GOOD
A2,B1,C5,D8,BAD
A1,B1,C0,D5,BAD
A2,B1,C4,D6,GOOD
A1,B1,C1,D1,BAD
A1,B1,C2,D8,BAD
A1,B2,C7,D1,BAD
A1,B1,C8,D2,BAD
A2,B1,C5,D4,BAD
A2,B1,C10,D10,GOOD
A1,B1,C1,D5,BAD
A1,B2,C3,D5,BAD
A2,B1,C1,D4,BAD
A1,B1,C9,D4,BAD
A2,B1,C2,D6,BAD
A1,B1,C7,D9,GOOD
A2,B2,C9,D4,GOOD
A2,B1,C4,D1,BAD
A2,B1,C7,D8,GOOD
A2,B1,C5,D2,BAD
A2,B1,C9,D4,GOOD
A2,B2,C6,D10,GOOD
A2,B1,C8,D3,GOOD
A2,B2,C4,D3,GOOD
A2,B1,C6,D2,BAD
A1,B1,C8,D3,BAD
A1,B2,C2,D8,GOOD
A2,B1,C2,D0,BAD
A2,B1,C7,D6,GOOD
