Query,News_Index,Relevance
國際賽事會場內應該可以持中華民國國旗,news_099069,1
國際賽事會場內應該可以持中華民國國旗,news_013518,1
國際賽事會場內應該可以持中華民國國旗,news_082014,2
國際賽事會場內應該可以持中華民國國旗,news_042952,2
國際賽事會場內應該可以持中華民國國旗,news_073825,2
國際賽事會場內應該可以持中華民國國旗,news_086541,1
國際賽事會場內應該可以持中華民國國旗,news_096311,1
國際賽事會場內應該可以持中華民國國旗,news_037008,1
國際賽事會場內應該可以持中華民國國旗,news_075343,1
國際賽事會場內應該可以持中華民國國旗,news_092111,1
國際賽事會場內應該可以持中華民國國旗,news_048434,1
國際賽事會場內應該可以持中華民國國旗,news_098688,1
國際賽事會場內應該可以持中華民國國旗,news_022206,1
國際賽事會場內應該可以持中華民國國旗,news_054037,1
國際賽事會場內應該可以持中華民國國旗,news_094266,1
國際賽事會場內應該可以持中華民國國旗,news_085144,2
國際賽事會場內應該可以持中華民國國旗,news_006979,1
國際賽事會場內應該可以持中華民國國旗,news_039923,1
國際賽事會場內應該可以持中華民國國旗,news_049038,1
國際賽事會場內應該可以持中華民國國旗,news_008464,1
國際賽事會場內應該可以持中華民國國旗,news_054181,1
國際賽事會場內應該可以持中華民國國旗,news_013123,1
國際賽事會場內應該可以持中華民國國旗,news_053439,1
國際賽事會場內應該可以持中華民國國旗,news_083151,2
國際賽事會場內應該可以持中華民國國旗,news_087474,2
國際賽事會場內應該可以持中華民國國旗,news_033100,1
國際賽事會場內應該可以持中華民國國旗,news_013509,1
國際賽事會場內應該可以持中華民國國旗,news_083968,2
國際賽事會場內應該可以持中華民國國旗,news_021497,1
國際賽事會場內應該可以持中華民國國旗,news_074604,1
國際賽事會場內應該可以持中華民國國旗,news_037193,2
國際賽事會場內應該可以持中華民國國旗,news_071107,1
國際賽事會場內應該可以持中華民國國旗,news_028322,1
國際賽事會場內應該可以持中華民國國旗,news_015937,1
國際賽事會場內應該可以持中華民國國旗,news_016248,1
國際賽事會場內應該可以持中華民國國旗,news_027827,2
國際賽事會場內應該可以持中華民國國旗,news_025486,1
國際賽事會場內應該可以持中華民國國旗,news_048740,1
國際賽事會場內應該可以持中華民國國旗,news_068899,1
國際賽事會場內應該可以持中華民國國旗,news_010157,1
國際賽事會場內應該可以持中華民國國旗,news_028437,1
國際賽事會場內應該可以持中華民國國旗,news_095166,1
國際賽事會場內應該可以持中華民國國旗,news_067250,1
國際賽事會場內應該可以持中華民國國旗,news_015205,1
國際賽事會場內應該可以持中華民國國旗,news_041039,1
國際賽事會場內應該可以持中華民國國旗,news_021922,1
國際賽事會場內應該可以持中華民國國旗,news_064285,1
國際賽事會場內應該可以持中華民國國旗,news_015493,1
國際賽事會場內應該可以持中華民國國旗,news_002902,1
國際賽事會場內應該可以持中華民國國旗,news_087398,1
國際賽事會場內應該可以持中華民國國旗,news_093996,1
國際賽事會場內應該可以持中華民國國旗,news_025131,1
國際賽事會場內應該可以持中華民國國旗,news_070631,1
國際賽事會場內應該可以持中華民國國旗,news_088806,2
國際賽事會場內應該可以持中華民國國旗,news_058146,1
國際賽事會場內應該可以持中華民國國旗,news_096926,1
